filename,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48
Ac2HgGe.png,4.028082,6.7480917,6.3522415,6.2798004,5.3984365,5.3256483,7.1014647,1.0061393,1.6644871,1.1315825,1.1702989,2.1231823,0.87799215,2.2342463,0.0,0.58368564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.764184,3.619526,0.024726693,0.86318475,2.447143,2.4454265,1.5677875,2.0235887,1.6203513,2.7278981,2.0844865,1.7088931,1.9469266,2.0496857,4.198775,2.1547906,3.3461432,2.7617571,2.600896,3.912416,3.9498465,3.0936668,3.861629,2.3035583,3.07329,4.3508596
Ac2SiAu.png,3.5155082,5.7108226,4.7042856,3.896625,4.9293547,4.7134447,6.435754,0.0,1.5948855,0.7402321,0.24071252,0.6072459,0.2738273,0.57850397,0.0,0.0,0.0,0.0,0.0,0.60010904,0.0,2.0429869,1.9124727,1.8748145,2.280788,2.496835,0.12140776,2.0265176,2.362054,3.3759348,3.0370312,2.5848022,3.1067622,3.2677884,3.547816,3.8607483,1.9214745,1.527334,4.090238,0.0,0.0,2.751163,2.8101301,2.403915,4.462103,1.3352413,3.7733083,4.782726,2.6126227
AcAgAu2.png,0.0,3.3380773,3.0181265,4.230825,2.8392065,2.8908057,2.9326057,3.3940501,2.9448054,2.7341127,1.8820796,1.2562687,2.6180365,3.4330707,0.0,0.887683,0.8377387,2.3451977,3.1076133,0.0,0.0,0.024555525,2.3278952,2.3762362,1.2604394,0.0,2.353569,2.36953,3.3863668,3.405524,2.0099707,2.139063,3.637896,0.10760638,4.143586,4.180976,3.6514623,2.353279,3.7507792,1.6635998,1.6569115,4.465739,2.0304048,2.3646083,3.017173,2.5747263,2.0468748,3.2121732,2.7485986
AcCdRh2.png,3.6590903,3.2315373,4.4730434,4.4611864,2.5585694,3.9160008,3.527059,0.0,1.8143593,0.93204904,2.110755,3.3080714,0.0,1.7866881,0.0,1.2730855,0.898799,0.18033159,0.0,1.6853168,1.7912073,4.0642266,3.6912887,2.2852612,2.036878,0.0,2.3126216,4.6391335,1.1204727,1.0673862,3.2204041,2.2469099,2.8346767,0.0,1.6795741,1.4606867,1.7152538,0.0,0.26564115,1.3973265,2.2739182,2.4365854,1.8369441,1.6063617,2.9947448,2.8068771,2.6289184,0.0,0.0
AcHgRh2.png,0.51664585,3.0619977,2.773888,3.5273242,3.1742988,2.8369274,2.1442523,4.657081,2.4459848,2.474404,1.8003466,1.109334,1.246124,3.6839828,1.6398188,1.2669934,2.3387084,1.9767578,0.0,2.2206187,2.4385684,0.0,1.3264457,2.4928577,0.0,3.0471807,1.2196529,0.0,3.6173797,3.6789258,2.5750134,2.5690565,2.458158,2.2056794,4.4429226,1.7256038,0.4355197,3.2336648,2.1016817,2.7251139,0.0,0.58242315,3.0732048,2.7252371,2.9525073,3.0917413,3.1841364,3.5948553,2.9658408
AcSnPd2.png,0.0,4.36195,4.0908866,3.3024073,3.1816218,3.1964955,3.7602391,3.205095,0.0,2.7977188,1.3656267,3.688503,4.890183,0.0,0.0,2.485091,1.6962354,0.69841325,0.0,1.0657212,2.5184042,0.0,0.0,0.0,3.5380797,4.806551,2.564588,0.0,4.214838,2.6307266,2.2993925,1.5547863,2.5680704,1.5773144,4.127636,2.4773326,2.6193473,3.1747859,3.5900917,0.0,1.3357041,3.0437305,0.0,0.0,0.0,0.0,0.040124327,0.838751,0.0
AcTlRh2.png,4.8241873,3.999022,4.188217,3.123054,3.005962,3.7039707,4.188984,0.6158668,0.8263027,2.0056672,2.0406759,3.5442255,0.0,1.1929424,0.85762715,1.130719,1.2017242,1.9966078,0.8242449,1.2576458,1.3941329,3.83537,4.2848697,2.3458428,2.5958502,0.0,0.0,4.9723964,0.0,1.0871366,1.8774576,1.6205325,3.2718294,1.8876249,1.6625712,3.9175062,0.0,0.069399804,0.0,0.0,0.0,2.227299,2.1787825,2.6727617,3.217445,3.2422106,0.20931335,2.866282,2.7659183
AgHgPd2.png,2.9575806,3.3850765,5.410898,2.4257011,3.732623,4.3055906,3.532309,3.4941955,3.9946358,2.639049,2.090334,3.8056848,1.1108612,4.7065597,3.4072747,4.774596,1.9973341,3.391492,2.0909963,1.2910004,5.2138934,1.7242811,1.6706574,2.4406786,2.773708,0.0,3.7920542,2.4707654,0.85625947,0.0,0.0,0.0,0.0,0.36270756,0.0,2.248144,2.482212,0.0,0.0,0.005088271,0.0,2.6284394,1.9354243,3.261382,3.9872684,3.381596,2.5108519,3.445629,3.248158
Al2CoIr.png,2.8557382,3.0596747,3.7397473,5.784897,2.522016,3.950749,2.8068857,3.9438198,1.5353149,2.3989632,2.0842168,2.7355824,2.654842,2.8479335,1.9126058,0.0,0.0,1.8581932,2.8024843,0.98719215,1.9285077,1.9102153,2.6730657,2.5555036,1.4845762,0.0,1.1940851,2.5661683,0.0,1.838695,0.31464794,0.0,1.9948671,0.0,1.7411846,2.506599,0.16045886,2.4929266,1.2532146,0.0573504,1.3174785,0.80574286,2.8588018,2.7614865,3.1822228,2.3844647,2.5364985,2.620802,3.008994
Al2CoRu.png,4.5328703,3.0196338,3.5809538,5.918738,2.4649591,3.7361615,3.664894,4.029918,3.2683308,0.43510854,1.5617454,3.2683368,1.9037172,4.5173383,0.7475356,0.2085324,0.0,0.0,0.0,0.0,1.1370302,3.5037713,2.8842716,0.0,1.161658,2.8512094,0.0,3.2048,0.47644275,1.7649215,1.9611554,0.0,0.0,2.7337055,2.0528116,2.7460003,0.0,0.0,2.9999638,3.6519723,1.2918112,0.110851675,2.3529716,1.8763767,2.6173637,1.000984,2.2432878,2.0605714,2.191895
