filename,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64,z65,z66,z67,z68,z69,z70,z71,z72,z73,z74,z75,z76,z77,z78,z79,z80,z81,z82,z83,z84,z85,z86,z87,z88,z89,z90,z91,z92,z93,z94,z95,z96,z97,z98,z99,z100,z101,z102,z103,z104,z105,z106,z107,z108,z109,z110,z111,z112,z113,z114,z115,z116,z117,z118,z119,z120,z121,z122,z123,z124,z125,z126,z127,z128,z129,z130,z131,z132,z133,z134,z135,z136,z137,z138,z139,z140,z141,z142,z143,z144,z145,z146
Ac2HgGe.png,2.265832,0.360633,1.3390079,2.4442825,3.4930613,1.5615518,0.9058231,1.2837164,4.030011,2.0228927,0.40053728,0.9378772,0.0,1.8083291,2.7062826,0.0,1.0218536,1.521606,0.24431509,0.5729592,2.1900125,1.3807197,2.9189548,1.3592314,0.32099226,1.3623031,1.7132844,0.8858034,3.296153,1.8114322,0.9281762,1.0589311,1.4080204,1.2982633,2.3939357,4.0385118,0.9708541,1.1540883,1.2926974,2.6518512,1.5366466,3.4876347,0.08097049,2.8651,1.5780842,2.2355158,1.7976596,2.5236866,1.5525393,1.0192997,0.94885194,2.6718285,2.2266464,2.1557405,3.0060616,0.5598482,3.7996721,3.137297,2.2010605,3.2804732,1.012369,0.9918912,2.895607,4.0387964,2.756487,0.674676,0.9504997,2.0847914,2.6763146,2.3384225,2.3813033,3.3860612,3.7768815,2.5837915,2.5945847,2.7386773,4.4501157,2.6740608,1.636657,2.4900692,3.0906947,1.5750993,2.4959397,2.4793158,3.6491256,3.2865129,2.6063476,3.878897,4.364616,4.615017,2.8975708,0.98501015,3.245229,4.1488805,4.833529,0.87352407,2.8073092,2.9697192,1.7469022,0.5633757,1.3785374,2.5056965,3.2434518,0.90453225,1.6744645,1.7880137,1.7239547,3.0564504,2.102658,3.2612681,0.0,0.94761115,3.8001447,3.459925,2.3548138,1.3161718,0.10936743,1.9826934,3.8561368,0.72161853,2.3825803,4.6542487,3.9418008,1.8610251,2.5511992,1.0177884,2.2616224,2.805689,0.8726363,1.9986656,2.8808947,1.7846559,1.4929001,3.1192482,1.2067127,1.82009,3.1225865,4.55947,2.0977366,2.9840388,2.9914658,3.2821612,5.328208,3.1273162,3.3533852,1.6607367,2.5495884
Ac2SiAu.png,2.4221702,0.83920646,2.397158,1.5966598,0.12891282,2.5328033,1.0288436,2.1452036,0.22289331,1.213869,0.05849146,1.7784169,0.60276854,0.09318313,3.7769835,1.4643319,0.90326273,1.0427322,0.26364997,1.4985709,2.7278237,1.824767,1.1109003,1.3435813,0.22043371,2.264394,2.6401992,1.7609899,3.1912475,1.1027465,0.7585374,1.0413313,1.2651974,1.5156319,2.0167155,2.7518487,1.0223986,0.62838286,2.1982505,1.2233754,1.6782591,0.9555095,1.7432151,1.7096616,2.0375283,0.43936497,0.8833793,0.91344506,2.673976,2.9784892,2.0978775,2.5103695,3.3850336,2.3320746,2.8286576,3.1259613,2.7428927,2.8668787,1.2642956,3.306166,2.3648977,4.0499535,2.412713,3.1158407,1.529524,2.2868373,2.7998633,2.2368457,1.9429585,2.0363603,2.2318993,3.4841998,1.7356267,3.3075838,4.721318,5.2350535,2.439676,4.1282907,4.031687,3.7262092,3.1449647,4.447494,4.5104823,5.0271225,2.4514189,3.6831,2.7614636,3.3219757,4.3529506,4.052545,2.8412282,3.4330478,4.5978885,2.8093586,4.9076705,2.2845979,3.6412764,3.5931125,2.023522,2.6011317,2.0848842,1.0458901,1.5951756,2.8044631,0.61049825,1.5941944,2.294099,3.8206131,3.0944417,1.9826401,3.106834,1.4883348,2.688664,3.5886264,2.6292038,1.3135643,2.0363433,1.304416,2.0022986,2.5909357,1.4867035,1.614671,2.3438468,3.3222911,1.5851611,2.421282,3.081385,4.879858,3.9178107,3.6182275,4.4128747,4.4596806,4.433473,2.043028,2.0587933,2.1814132,0.6645184,2.5594049,2.2091997,1.823836,4.679965,3.719329,4.1916027,4.376878,2.159727,3.0368671,5.2207785
AcAgAu2.png,1.7732258,1.3282737,1.7502766,2.1632028,1.8251402,0.7789279,2.4709337,2.0393412,2.2013812,1.6998365,3.128861,1.8441502,0.0,1.4681478,2.4544482,2.055871,2.8903368,1.2264296,0.73043305,2.4825268,3.0962405,1.9696755,1.1863062,2.874887,1.8014323,1.9021139,0.0,1.5354122,2.6099293,1.8293769,0.013804691,1.077238,1.218226,0.2942382,3.0702028,1.7209009,1.9259851,1.8889167,0.94600177,0.021665556,0.6854724,1.9708744,2.2900329,0.0,2.0654967,0.585398,0.06499732,1.8828194,2.3813024,3.5413778,4.0478373,1.0422384,4.1293397,1.1877403,1.2840517,2.6665854,2.8506143,4.169031,3.3554351,4.020859,5.0930095,1.8901485,3.112346,4.4503946,1.8432394,3.3499527,2.255755,3.4548285,2.7443647,2.4621565,3.6799736,2.8935838,4.431773,4.801714,2.5934603,2.3274565,2.754573,3.9094884,4.402385,2.2955518,1.2903603,4.99796,1.2212101,3.6881585,3.9029572,4.7314277,3.6161048,4.7840276,2.137176,2.4754903,4.16357,3.7070699,4.1533813,3.2199554,2.3417313,3.6973233,3.9841375,3.0296173,4.2494698,3.1301699,2.378839,1.3756576,1.8184671,2.5082018,4.365536,0.44705415,2.0137453,3.0397036,2.6316805,3.5369341,1.1156036,0.27890384,4.2504525,2.3551693,2.0333207,1.8911902,1.9794859,3.5507622,2.6848361,2.6343977,2.8456185,2.698968,2.162145,1.7632442,1.7817559,2.538926,3.5914223,1.9670149,2.9853542,2.7644641,4.1078615,0.32814193,3.720957,4.01464,4.512229,3.3065743,3.2055416,1.9739339,3.1527874,4.9721413,4.749302,2.7985287,1.6636301,4.087588,2.434181,1.7391443,5.192559
AcCdRh2.png,0.9337511,2.2019947,3.2153752,2.0551083,1.4440659,1.9053712,2.12116,0.530804,1.1124601,1.9057467,0.20330703,0.089347884,1.7170552,0.9727461,2.119167,2.2199717,1.8647873,1.5621507,0.13897952,2.6426458,1.8884965,2.540472,0.14646664,0.111185186,1.5819564,0.4353323,1.3155628,1.9376969,0.1852216,3.2439785,1.7567902,0.44689313,2.994267,1.3589158,1.8615808,1.8381908,0.31482977,0.0,0.034775764,1.0675019,0.6331043,1.7922789,2.9393766,0.3549276,2.6479099,3.1291318,0.795756,1.0960027,1.9936239,3.5247889,3.5542624,4.6666245,1.9277825,5.4383507,2.3080475,3.5048418,3.5631952,3.5666108,2.8319268,2.091465,1.8969297,3.470199,3.1494255,3.945464,5.1581745,3.8239279,4.537036,3.127137,3.5219078,4.6634216,3.9104724,4.0229115,2.0954316,1.4066254,1.5857925,2.411243,3.128287,2.0273128,2.9820342,3.751286,3.2168982,2.0902839,1.0088415,1.339382,3.6268435,3.1028128,0.8771379,2.5033808,0.5212683,3.2676136,2.097958,2.5488105,1.371048,1.9207999,3.4262695,0.7724055,1.1381712,1.2729917,3.2142227,2.0175877,2.875891,3.8351586,3.6937857,1.6398373,2.8237152,2.9256136,2.6859055,2.3306544,2.0014336,1.6010344,2.1965086,2.8954258,3.145182,3.6073148,1.357333,1.6988316,1.4841279,2.1920586,4.2964935,4.470808,3.2058713,0.76250815,0.624581,0.89325505,1.9118936,4.8228025,2.972656,0.39433396,3.8823297,3.3490384,0.44068146,1.7476101,2.503131,4.2013173,4.325125,0.11159224,3.4184968,3.7794065,2.4721484,4.723049,0.61025375,0.6551022,1.3013299,1.9024411,1.5334713,1.6657921,0.7280178
AcHgRh2.png,2.9999747,2.7967525,2.1513245,0.5635367,1.9090126,2.417529,3.9657645,0.3117334,2.7706325,2.5363226,1.8594705,0.41226056,3.999096,1.9367187,2.1872213,0.82756853,1.9088637,0.0057735154,1.8311133,1.8531361,1.4630059,0.68640953,0.92739284,0.19091254,1.4390818,0.66539085,1.984802,0.541231,2.1100597,2.4910283,0.0,0.6177625,0.8771299,1.1102762,2.0517936,1.0164802,0.08059949,0.84112334,0.591045,0.9623894,0.55202496,1.4975007,3.0676236,3.4315705,1.1883457,1.9915025,2.0116498,1.2994112,2.972509,3.4578774,4.463396,2.8712394,2.166133,2.7913487,2.1933832,3.1261196,3.7522063,2.6573157,3.6018,4.3140016,2.9353743,3.6897283,2.0305474,4.0919294,2.0792475,1.4294286,1.8648002,1.8115686,2.2339983,2.9373198,2.436499,2.7840328,1.6459959,3.1297162,4.0700145,1.4400771,2.6525679,4.2106447,4.5287747,3.3195212,3.0573757,3.9385486,3.7278068,4.7841053,3.312674,2.6630268,1.3753381,2.0741212,1.518091,1.6402602,1.6858022,2.6536934,3.8294759,2.3794184,1.3709764,5.041201,2.1120875,3.956362,4.5504236,2.343704,2.8360116,2.1434622,2.4747894,1.6599476,4.283191,3.9709902,1.0998014,2.1537187,1.4976361,2.0752761,2.4221199,3.4623582,3.3777785,2.3175895,2.7965336,2.17889,0.04349594,1.9968498,3.3855553,1.3434999,2.297777,2.5283809,1.6827754,3.5313437,2.2053237,1.6470146,2.8396578,4.437549,4.0730634,3.1768956,3.441105,2.990791,4.081443,4.239819,2.3430088,0.71357346,0.09431007,0.19624397,0.83690554,4.0883865,1.2027941,2.9503074,4.876762,2.043054,4.389979,1.8125696,1.441155
AcSnPd2.png,2.4606857,1.6491184,1.8090501,2.7650535,1.8537426,3.126334,2.5319407,0.68313366,1.580091,2.9780107,1.9513655,0.2513882,0.0,2.0421565,1.408779,1.5929687,0.09946827,3.3913987,1.9171368,2.6900713,0.989836,1.256369,2.653399,1.679817,0.97014576,2.4990928,0.1918916,1.3435266,2.6174042,2.1621735,0.0,0.82577336,0.0,2.094862,3.187492,2.275198,0.993134,3.0019715,1.0513158,1.5944124,0.0,1.9059198,0.356783,3.0308504,3.108593,0.8687279,1.8346659,2.5041938,2.1182077,4.3726377,2.0912585,5.379067,3.9428768,4.546489,4.517726,2.8601348,3.0418334,5.1746492,3.0130942,4.244748,1.491074,3.2840695,2.4984372,4.35089,2.924398,2.2545247,3.4890456,4.9447317,3.7242093,3.654057,1.8635265,3.4831676,2.1869886,4.2243094,4.379578,3.0616682,1.7298014,3.0766025,3.5803652,3.2012107,2.4355037,4.0429907,2.9025054,2.1671767,3.8865566,5.0878987,4.008254,4.841908,2.4873624,2.3083806,3.6701765,1.7215025,3.2851825,2.4845111,1.5698979,3.125032,4.8778763,1.3892466,4.002018,2.6856396,4.037192,3.648962,4.8100123,5.634686,2.5763156,3.9165633,2.97825,2.0887418,1.0938958,1.2457662,2.8669608,3.524068,2.3384762,2.6522684,2.9241216,1.3455807,3.7738535,1.4789311,1.342349,2.16055,1.868192,2.7779953,4.272788,4.7898073,2.1925588,1.688507,4.6480174,2.1993606,3.2387874,1.7269218,2.8489003,2.5810077,3.7721663,4.2998405,3.6199026,2.942475,1.9283944,2.436359,1.5065169,5.017433,3.3553782,1.9248328,3.179295,3.0860028,1.0773556,3.8119223,2.9668663
AcTlRh2.png,2.099192,3.005887,2.2383313,0.5180787,0.31343013,1.8353324,0.9166799,1.4132676,2.3116202,0.9891211,0.5815009,1.4183722,0.3356569,2.7885156,3.3730068,2.429208,0.3227387,0.3191908,1.8483672,0.8828685,3.6757016,2.1391418,1.7298437,1.9090947,1.0180924,0.39570063,2.882435,2.3907387,1.0755078,0.35451883,0.22107363,0.0,1.8403486,1.7297761,0.76201147,0.96527874,0.56556547,3.0133548,1.051081,0.8605097,1.3178558,0.1913288,1.8170127,1.3398675,1.6534554,1.9319488,1.4745891,0.69402057,2.8960562,2.3615272,4.649298,1.8830663,2.4838405,5.1410885,2.8858883,2.6131034,4.330149,3.5919166,1.3621699,4.424437,2.73131,2.0968218,2.7344332,4.7571855,2.3115568,3.1968338,2.9616091,2.7524858,2.6689985,3.4414978,3.8383038,4.4688115,4.305601,4.9493313,1.7100587,3.2184966,4.159012,1.0214506,0.9046483,2.4707003,2.5954041,4.7098694,2.2050178,0.7193731,0.84252715,2.900746,5.119273,2.810751,0.825282,3.027827,1.345684,3.6062925,4.54378,1.0509179,1.1714566,0.5357845,1.3244469,3.5882118,1.3893452,2.4961805,2.8252196,2.190719,3.8578596,2.8654475,1.3635665,3.943719,1.8776226,3.2780397,2.991127,1.9879282,3.1151679,2.813237,2.546335,2.4651673,1.9729996,1.0575901,0.7954788,1.7491704,1.9918616,4.2661195,4.450576,4.155464,4.3556824,0.7409249,2.9878669,5.4231834,3.030292,2.5400405,3.6679094,2.178767,3.8052642,2.1668375,2.7102666,0.94815063,1.3765044,3.315801,0.50592905,0.5257824,1.1852164,1.1178042,4.436197,2.6971593,1.2006881,1.0416402,2.2766476,1.277884,4.1555395
AgHgPd2.png,2.4306972,1.7523359,0.7143495,2.0451543,1.1569858,2.4694018,2.3141844,2.0360653,2.6233795,2.4227858,0.49359918,0.0,2.2726936,2.1231725,2.2249997,0.47236228,2.2166972,0.9070462,0.0,1.7938815,1.7747911,0.54373515,2.7437906,0.37767467,0.38067248,3.1788473,2.3482828,2.25513,2.1636553,0.9297858,0.13269238,0.72450185,1.399757,0.41895673,1.3171008,2.8775585,3.276571,1.7934133,0.5991146,0.79622513,1.8357341,3.3808193,3.5283642,0.2750295,0.3290486,0.5117677,0.4442399,0.0,2.769597,3.758808,5.214972,2.9638486,3.4817085,5.1551576,1.9820545,4.719611,3.9655356,4.378635,4.2605634,4.840081,4.2351437,2.5025818,4.5168695,3.9056232,4.7383018,1.8966997,4.631081,1.3610736,3.3251448,3.8026278,1.5345832,3.1377304,4.469336,1.1252635,2.7435875,5.0985045,1.3937644,1.6905365,1.3012333,1.4353896,0.8949911,0.6279308,0.4027002,0.8958615,1.0629507,2.0319378,1.90471,1.6186428,1.506597,1.41225,0.70138985,2.688151,1.710013,1.4701414,3.1284692,1.9494989,2.4456463,1.92886,4.032882,4.284041,2.639352,2.47097,3.80895,2.576436,5.134361,4.113552,4.8344345,2.1819782,3.1279671,3.5440137,3.4077349,4.841786,4.2779408,3.8480723,1.2435627,3.382864,0.8502988,1.926115,4.758206,3.4049478,1.868238,3.3939276,3.3341165,1.9003911,4.784208,2.9872622,0.78975314,0.36051685,1.7645755,0.124700986,0.8809332,1.1849229,0.35386315,3.5330675,3.1289377,2.8471162,1.4974998,2.2851882,2.6999056,3.4840465,2.6098444,0.9648302,1.486187,2.152614,1.482777,0.95094657,2.1479158
Al2CoIr.png,2.8985171,0.54186016,0.98374516,1.2503504,0.99245375,1.5525347,3.0746558,2.2493052,1.56755,1.4267681,2.060952,3.5528176,0.075372025,2.8709204,2.3739715,0.9288823,1.5610217,0.3246567,2.2159872,0.0,3.0225387,3.2571487,1.2922542,1.6402937,1.1793426,2.5572503,0.0,3.0864952,2.6117804,1.3283892,0.9650007,0.9914258,0.7589824,0.97096634,1.7662907,2.003132,1.3673238,0.7126441,0.9742261,0.5324019,1.9974146,1.0881251,1.0608155,1.1973741,1.2538618,1.4461062,2.2478726,2.1999128,0.7761061,4.025603,2.317222,1.308332,2.1506557,2.5011935,2.4250302,2.1826944,1.7652516,3.0882354,2.4555023,3.092876,3.5838754,3.2435622,1.1944077,3.259954,4.6310334,2.7103746,3.155507,1.8946553,2.764257,2.7222795,3.2478895,1.9548423,2.925924,2.333748,3.6409028,2.4749935,1.8763652,1.5001076,1.191046,2.12624,1.449384,0.93142766,1.1293213,0.39890772,1.5281048,1.3407675,1.6482618,1.8382922,2.0001194,2.5770214,0.7352717,2.4791596,2.5557888,1.9251883,2.336433,2.1174133,2.5940711,2.4016733,4.7142,1.5573518,2.9843912,3.3174143,2.1293337,1.8937126,3.6011863,2.800704,0.5327405,1.9828961,4.1021476,5.0440807,1.3814654,2.2685714,4.737863,2.2075863,2.6528141,2.2297473,1.7747239,0.17065433,4.7203555,2.2543764,2.3690305,2.6904535,1.0318556,1.6577208,1.7794654,1.8549432,2.3447118,2.8874598,1.8590604,1.9921949,3.1592188,1.2385213,2.4432824,2.449063,2.4565756,1.0252591,2.1281605,0.9582419,1.8439045,2.347012,2.299777,2.4584475,2.9976301,2.1752255,1.2995585,1.2655566,2.6073668
Al2CoRu.png,2.7879283,1.199799,1.3722404,2.1011357,0.69274884,0.05114274,2.9209394,1.4130298,1.7061341,1.5988164,1.8403157,2.3962708,0.23941785,1.9707639,0.52671355,0.1811896,1.9399853,1.4279685,1.0041602,2.4410868,0.22874433,2.1279387,2.5216563,1.6362892,1.5870188,0.0,2.166975,2.9652677,0.915785,0.2076368,1.6143377,1.521529,0.5031575,3.2488403,0.0,0.7482711,0.61039877,1.4973171,1.0771147,1.5417497,1.0071142,0.041358486,0.90469337,1.4547886,0.29714772,0.49507007,1.2291714,1.0770304,0.8813527,3.444202,4.4240465,2.3732617,3.1601446,1.8681095,2.3677516,3.4176655,1.5670209,2.0881739,3.26127,2.6241453,2.240154,1.4381877,0.81025904,2.5395522,2.118554,2.0196095,2.1384563,2.5112903,1.5282239,1.3164585,3.6641855,4.461846,3.9201536,1.7938011,2.4923162,1.7877157,4.1561604,1.1005659,1.4691598,1.8586813,1.4130139,0.5950896,3.7532854,0.7172084,2.1329477,2.6472068,1.2322484,2.6891756,1.3468446,1.6526785,2.3695083,2.0699556,2.913919,1.1169846,1.8039329,0.72366065,2.5028841,2.5975444,4.5565057,2.6674187,2.1936622,2.994468,3.576785,1.9499897,5.0414305,2.8486009,1.656126,1.3158937,1.3087558,2.97318,0.6222311,2.7872221,3.5506053,3.4057994,1.6867864,1.351986,2.1211975,1.6056222,3.8550577,4.1860085,4.434844,1.8996967,1.9542896,2.8881655,1.6133678,4.476281,2.511657,2.6904027,1.0869716,1.5582378,0.3374913,2.475421,2.7394683,2.1609755,3.2712216,1.3523687,1.5446756,1.0309167,1.4343092,2.594967,3.2195458,2.7804682,2.224706,4.004534,3.8855488,2.3416471,3.1966412
